#FID	IID	Population	Group	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
0	ukr1	UKR(150)	UKR(150)	-0.008132	0.0428456	0.0100962	0.000921133	0.00333108	0.0197312	0.00402551	0.0262342	0.0260986	-0.0193658
0	ukr10	UKR(150)	UKR(150)	-0.00884373	0.048428	0.00950741	0.00415511	0.0124374	0.0291142	0.00908636	-0.000398471	0.00399586	-0.000797237
0	ukr100_1	UKR(150)	UKR(150)	-0.00190394	0.0320522	0.0150806	0.00571904	0.0084539	0.0183484	0.0188161	-0.0112728	-0.00904289	0.0085978
0	ukr101	UKR(150)	UKR(150)	0.000268938	0.044717	0.023355	-0.00333237	0.00424731	0.0215651	0.00437138	0.0156509	0.0196511	0.00811376
0	ukr102	UKR(150)	UKR(150)	-0.00578845	0.0340339	0.0125614	0.00329065	0.00225151	0.0183524	0.0155052	-0.023203	-0.00308035	-0.00389322
0	ukr103	UKR(150)	UKR(150)	-0.00782714	0.0368226	0.0119971	-0.0000617062	0.0141229	0.0259883	0.0187488	-0.0054004	0.032369	-0.0241567
0	ukr104	UKR(150)	UKR(150)	-0.003648	0.0360816	0.0145055	0.0105875	0.00446164	0.0223818	0.00489153	-0.00361784	0.0258085	0.00299284
0	ukr105	UKR(150)	UKR(150)	0.00191321	0.0385949	0.00964432	0.0151041	0.0201302	0.0106259	0.0140826	-0.0169369	0.0388854	0.00704995
0	ukr106	UKR(150)	UKR(150)	-0.00411696	0.0424901	0.00760111	0.0166088	0.00277119	0.0152222	0.0302157	0.0398061	0.0240226	-0.0227705
0	ukr107	UKR(150)	UKR(150)	-0.00684931	0.0462046	0.0176077	0.00316073	0.020407	0.0073294	0.000875324	0.0103337	0.0332235	-0.0255566
0	ukr108	UKR(150)	UKR(150)	-0.00440783	0.0423472	0.0105305	0.00451819	-0.00921395	-0.00566143	0.00697971	-0.00795738	-0.00250995	-0.00483515
0	ukr109	UKR(150)	UKR(150)	-0.00385519	0.0398154	0.00777396	0.0060078	0.00894488	0.0215427	-0.00190661	0.0262946	0.0297873	-0.020713
0	ukr11	UKR(150)	UKR(150)	-0.00357417	0.0463658	0.0192793	0.00795018	-0.0137057	0.026407	0.00554721	-0.0231674	0.0245941	0.0161299
0	ukr110	UKR(150)	UKR(150)	-0.000681919	0.042253	0.0129762	0.00471027	0.00778438	0.0123698	0.00870998	-0.00402896	0.0596586	-0.0292368
0	ukr111	UKR(150)	UKR(150)	-0.0053381	0.0288481	0.00936852	-0.00832224	0.0155716	0.0163638	0.0117053	-0.0122393	0.0204474	0.0110085
0	ukr112	UKR(150)	UKR(150)	-0.00905228	0.0329726	0.0126678	0.00731469	0.00540049	0.0147426	0.0171288	-0.0139028	-0.0288274	-0.00170869
0	ukr113	UKR(150)	UKR(150)	-0.00993203	0.0482099	0.00719305	-0.00348768	0.00173917	0.00270987	0.00374514	0.0241612	0.0268659	-0.0219795
0	ukr114	UKR(150)	UKR(150)	-0.00782932	0.0389581	0.0163926	0.00299042	-0.00497892	-0.0127045	0.00337201	0.0306619	0.0152559	0.0176565
0	ukr115	UKR(150)	UKR(150)	-0.00138359	0.0257303	0.00225123	-0.000155022	0.00548134	-0.000768048	0.0103627	-0.0234643	0.00961303	0.0145339
0	ukr116	UKR(150)	UKR(150)	-0.00248692	0.0260883	0.0164254	-0.00114411	0.0245329	0.020262	0.0214348	0.00564643	0.0123991	0.0119822
0	ukr117_1	UKR(150)	UKR(150)	-0.0025311	0.0264895	0.0137488	-0.00176443	0.00388553	0.00621466	0.00987539	0.0167272	-0.0142445	-0.024365
0	ukr118_2	UKR(150)	UKR(150)	-0.00748796	0.049198	0.0156588	0.00308277	0.00955214	0.0221286	0.0196046	-0.0178549	-0.016097	-0.0418821
0	ukr119_2	UKR(150)	UKR(150)	-0.00335648	0.0353715	0.0209474	0.00875663	0.00434954	-0.00347935	0.019709	0.00673975	0.0252856	-0.0158295
0	ukr12	UKR(150)	UKR(150)	-0.00487963	0.0363487	0.0108146	-0.0088157	0.00961523	0.0167472	0.00300849	0.0358219	0.0170472	-0.0163122
0	ukr120	UKR(150)	UKR(150)	-0.00145838	0.0268627	0.0145419	0.0146092	-0.00490906	0.000532579	0.0120775	-0.0327454	-0.027957	-0.0369773
0	ukr121_2	UKR(150)	UKR(150)	0.00397229	0.0454348	0.0055339	0.0188858	-0.0090559	0.0207974	0.0118613	-0.00485474	0.00231039	-0.0314539
0	ukr122	UKR(150)	UKR(150)	0.000119759	0.0315661	0.0104126	0.0220569	-0.00557961	0.00590948	0.019776	-0.0136641	-0.010464	0.00525508
0	ukr123_2	UKR(150)	UKR(150)	-0.00904478	0.0393091	0.0109981	0.00308399	0.00152829	0.0035397	0.00375853	0.00650648	0.00930738	-0.00175967
0	ukr124_3	UKR(150)	UKR(150)	-0.00762052	0.0458439	0.0173358	-0.00033513	-0.01319	-0.00220851	0.0127097	-0.0110253	-0.0121604	-0.0455621
0	ukr125	UKR(150)	UKR(150)	-0.0127934	0.0525931	0.0233621	-0.00154329	-0.000270479	0.0141683	0.0132333	0.0354827	0.0224976	-0.026748
0	ukr126_2	UKR(150)	UKR(150)	0.0000248593	0.0380126	0.0199082	0.00782153	-0.0128492	0.0277771	0.00426066	0.00614158	0.00358317	0.013306
0	ukr127	UKR(150)	UKR(150)	-0.00566041	0.0486459	0.00416945	0.00399052	-0.00430904	0.0281563	0.0172896	0.00747178	0.052202	-0.00717806
0	ukr128_2	UKR(150)	UKR(150)	0.00258487	0.0424551	0.0203233	0.0172077	-0.0128356	0.0125706	-0.00468854	0.0133657	-0.000149021	-0.00728319
0	ukr129	UKR(150)	UKR(150)	-0.0130223	0.0492235	0.0110071	0.00260237	0.0185848	0.00307553	0.00881841	-0.0123701	0.0389155	0.00576975
0	ukr13	UKR(150)	UKR(150)	-0.00643684	0.0411353	0.0218393	-0.00231837	-0.00316049	0.00371852	0.0120457	-0.00102841	-0.00595078	-0.00449959
0	ukr130	UKR(150)	UKR(150)	-0.0084559	0.0425197	0.00572028	0.000142307	0.00306482	0.0218734	-0.0173168	0.0324166	0.0174044	0.00484548
0	ukr131	UKR(150)	UKR(150)	-0.00943591	0.0404318	0.0258748	-0.00702004	0.0139061	0.0098073	0.0160656	-0.00436367	0.0207442	0.0060553
0	ukr132_1	UKR(150)	UKR(150)	-0.00718164	0.0381575	0.00742504	-0.00569246	-0.00765457	-0.000510218	-0.00000819589	0.00105797	0.0127537	-0.0376584
0	ukr133	UKR(150)	UKR(150)	-0.00424196	0.0493104	0.00446646	0.0132331	0.000891337	0.0130658	0.0111502	0.0118226	-0.0234246	-0.00638207
0	ukr134	UKR(150)	UKR(150)	-0.00396908	0.0450228	0.0190763	-0.00133683	-0.00491558	0.00335655	0.00824589	-0.0117842	0.0297296	-0.0219418
0	ukr135_2	UKR(150)	UKR(150)	-0.0119482	0.0509836	0.0176027	-0.000514205	-0.0175196	-0.00870817	-0.0136792	-0.00241993	0.0308824	-0.0172414
0	ukr136	UKR(150)	UKR(150)	0.0189882	0.0368486	0.0218908	0.162145	0.0882218	-0.372348	0.0896099	0.0752355	0.0236532	0.022983
0	ukr137	UKR(150)	UKR(150)	0.0167192	0.0331358	0.0137987	0.15104	0.0483267	-0.331891	0.0836536	0.0262464	-0.0131234	0.0382737
0	ukr138	UKR(150)	UKR(150)	0.00209393	0.0458789	0.0145709	0.0561031	0.0208986	-0.148693	0.0349063	0.0125045	-0.0320743	-0.0220308
0	ukr139	UKR(150)	UKR(150)	-0.00643144	0.0483448	0.0214451	0.0790865	0.0425782	-0.179759	0.0505467	0.0471925	-0.0242111	0.00393385
0	ukr14	UKR(150)	UKR(150)	-0.00811554	0.0464275	0.00285638	-0.00352653	-0.00939341	0.021207	0.0110828	0.0145973	0.00703777	0.0285399
0	ukr140_2	UKR(150)	UKR(150)	0.0148539	0.0419865	0.021757	0.144476	0.029157	-0.417643	0.0992474	0.0686697	-0.0324337	-0.0822174
0	ukr141	UKR(150)	UKR(150)	0.0155162	0.0353681	0.0127572	0.126634	0.0388809	-0.330082	0.08991	0.0320139	0.0124931	-0.0390179
0	ukr142	UKR(150)	UKR(150)	-0.00954497	0.0464404	0.0111469	-0.00809065	-0.00557061	0.0171471	0.0126287	-0.00276855	0.0247876	-0.0236874
0	ukr143	UKR(150)	UKR(150)	-0.0068783	0.0499452	0.00923362	-0.00234932	-0.0103274	0.0307623	0.0142606	0.0113203	0.0563176	0.0189988
0	ukr144_2	UKR(150)	UKR(150)	-0.00989882	0.0521933	0.0184707	-0.00478971	-0.0153617	0.0218408	0.00980902	0.0230892	-0.00612953	-0.0292483
0	ukr145	UKR(150)	UKR(150)	-0.00868048	0.041292	0.00727754	-0.00656626	0.0104104	0.00897126	-0.000905573	-0.00330312	0.0126892	0.00639475
